PING www.cs.ox.ac.uk (129.67.151.1) 56(84) bytes of data.
[1766463153.495527] From 223.120.11.49 icmp_seq=83 Time to live exceeded
[1766463155.327672] From 223.120.11.49 icmp_seq=92 Time to live exceeded
[1766463155.731891] From 223.120.11.49 icmp_seq=94 Time to live exceeded
[1766463160.007366] From 223.120.11.49 icmp_seq=115 Time to live exceeded
[1766463160.412348] From 223.120.11.49 icmp_seq=117 Time to live exceeded
[1766463161.019294] From 223.120.11.49 icmp_seq=120 Time to live exceeded
[1766463161.627333] From 223.120.11.49 icmp_seq=123 Time to live exceeded
[1766463540.303334] From 223.120.11.49 icmp_seq=1979 Time to live exceeded
[1766463544.587358] From 223.120.11.49 icmp_seq=2000 Time to live exceeded
[1766463545.603579] From 223.120.11.49 icmp_seq=2005 Time to live exceeded
[1766463607.824335] From 146.97.35.169 icmp_seq=2309 Time to live exceeded
[1766463882.033045] From 223.120.11.49 icmp_seq=3654 Time to live exceeded
[1766463883.661050] From 223.120.11.49 icmp_seq=3662 Time to live exceeded
[1766463884.881017] From 223.120.11.49 icmp_seq=3668 Time to live exceeded
[1766463886.712887] From 223.120.11.49 icmp_seq=3677 Time to live exceeded
[1766463887.729222] From 223.120.11.49 icmp_seq=3682 Time to live exceeded
[1766463888.332940] From 223.120.11.49 icmp_seq=3685 Time to live exceeded
[1766463889.144859] From 223.120.11.49 icmp_seq=3689 Time to live exceeded
[1766463890.976532] From 223.120.11.49 icmp_seq=3698 Time to live exceeded
[1766463893.027248] From 223.120.11.49 icmp_seq=3708 Time to live exceeded
[1766463893.231347] From 223.120.11.49 icmp_seq=3709 Time to live exceeded
[1766464071.877389] From 223.120.11.162 icmp_seq=4584 Time to live exceeded
[1766464077.048233] From 223.120.11.50 icmp_seq=4610 Time to live exceeded
[1766464081.532256] From 223.120.11.50 icmp_seq=4632 Time to live exceeded
[1766464082.140056] From 223.120.11.50 icmp_seq=4635 Time to live exceeded
[1766464198.572389] From 223.120.11.162 icmp_seq=5205 Time to live exceeded
[1766464318.427406] From 223.120.11.57 icmp_seq=5793 Time to live exceeded
[1766464370.641249] From 223.120.11.49 icmp_seq=6049 Time to live exceeded
[1766464371.656623] From 223.120.11.49 icmp_seq=6054 Time to live exceeded
[1766464372.061407] From 223.120.11.49 icmp_seq=6056 Time to live exceeded
[1766464373.484531] From 223.120.11.49 icmp_seq=6063 Time to live exceeded
[1766464373.689557] From 223.120.11.49 icmp_seq=6064 Time to live exceeded
[1766464375.312524] From 223.120.11.49 icmp_seq=6072 Time to live exceeded
[1766464375.716869] From 223.120.11.49 icmp_seq=6074 Time to live exceeded
[1766464376.524586] From 223.120.11.49 icmp_seq=6078 Time to live exceeded
[1766464527.100132] From 221.183.89.242 icmp_seq=6817 Time to live exceeded
[1766464900.696260] From 223.120.11.57 icmp_seq=8647 Time to live exceeded
[1766465081.243762] From 223.120.11.49 icmp_seq=9532 Time to live exceeded
[1766465122.492153] From 193.63.108.70 icmp_seq=9732 Time to live exceeded
[1766465207.724937] From 223.120.11.49 icmp_seq=10152 Time to live exceeded
[1766465216.907908] From 223.120.11.50 icmp_seq=10197 Time to live exceeded
[1766465217.113032] From 223.120.11.50 icmp_seq=10198 Time to live exceeded
[1766465272.192248] From 223.120.11.50 icmp_seq=10468 Time to live exceeded
[1766465272.801076] From 223.120.11.50 icmp_seq=10471 Time to live exceeded
[1766465273.816461] From 223.120.11.50 icmp_seq=10476 Time to live exceeded
[1766465328.016641] From 223.120.11.162 icmp_seq=10741 Time to live exceeded
[1766465392.749276] From 223.120.11.49 icmp_seq=11059 Time to live exceeded
[1766465401.937050] From 223.120.11.50 icmp_seq=11104 Time to live exceeded
[1766465454.373640] From 223.120.11.49 icmp_seq=11361 Time to live exceeded
[1766465575.783750] From 223.120.11.49 icmp_seq=11956 Time to live exceeded
[1766465696.975645] From 223.120.11.57 icmp_seq=12550 Time to live exceeded
[1766465756.136148] From 223.120.11.50 icmp_seq=12840 Time to live exceeded
[1766465758.989157] From 223.120.11.50 icmp_seq=12854 Time to live exceeded
[1766465761.228329] From 223.120.11.50 icmp_seq=12865 Time to live exceeded
[1766465764.080241] From 223.120.11.50 icmp_seq=12879 Time to live exceeded
[1766465764.688256] From 223.120.11.50 icmp_seq=12882 Time to live exceeded
[1766465885.465891] From 223.120.11.49 icmp_seq=13474 Time to live exceeded
[1766465887.705122] From 223.120.11.49 icmp_seq=13485 Time to live exceeded
[1766465888.308663] From 223.120.11.49 icmp_seq=13488 Time to live exceeded
[1766465890.349833] From 223.120.11.49 icmp_seq=13498 Time to live exceeded
[1766466199.456399] From 223.120.11.49 icmp_seq=15013 Time to live exceeded
[1766466200.675301] From 223.120.11.49 icmp_seq=15019 Time to live exceeded
[1766466201.279759] From 223.120.11.49 icmp_seq=15022 Time to live exceeded
[1766466201.684748] From 223.120.11.49 icmp_seq=15024 Time to live exceeded
[1766466202.287962] From 223.120.11.49 icmp_seq=15027 Time to live exceeded
[1766466203.304473] From 223.120.11.49 icmp_seq=15032 Time to live exceeded
[1766466203.508467] From 223.120.11.49 icmp_seq=15033 Time to live exceeded
[1766466204.520453] From 223.120.11.49 icmp_seq=15038 Time to live exceeded
[1766466205.127451] From 223.120.11.49 icmp_seq=15041 Time to live exceeded
[1766466205.940134] From 223.120.11.49 icmp_seq=15045 Time to live exceeded
[1766466206.343980] From 223.120.11.49 icmp_seq=15047 Time to live exceeded
[1766466324.856782] From 223.120.11.49 icmp_seq=15628 Time to live exceeded
[1766466557.900684] From 223.120.11.49 icmp_seq=16770 Time to live exceeded
[1766466559.936420] From 223.120.11.49 icmp_seq=16780 Time to live exceeded
[1766466560.544863] From 223.120.11.49 icmp_seq=16783 Time to live exceeded
[1766466752.415177] From 223.120.11.49 icmp_seq=17723 Time to live exceeded
[1766466753.227688] From 223.120.11.49 icmp_seq=17727 Time to live exceeded
[1766466754.040095] From 223.120.11.49 icmp_seq=17731 Time to live exceeded
[1766466754.445563] From 223.120.11.49 icmp_seq=17733 Time to live exceeded
[1766466754.647627] From 223.120.11.49 icmp_seq=17734 Time to live exceeded
[1766466756.275822] From 223.120.11.49 icmp_seq=17742 Time to live exceeded
[1766466756.480433] From 223.120.11.49 icmp_seq=17743 Time to live exceeded
[1766466756.680092] From 223.120.11.49 icmp_seq=17744 Time to live exceeded
[1766466756.881108] From 223.120.11.49 icmp_seq=17745 Time to live exceeded
[1766466757.080852] From 223.120.11.49 icmp_seq=17746 Time to live exceeded
[1766466757.281730] From 223.120.11.49 icmp_seq=17747 Time to live exceeded
[1766466757.481661] From 223.120.11.49 icmp_seq=17748 Time to live exceeded
[1766466757.683625] From 223.120.11.49 icmp_seq=17749 Time to live exceeded
[1766466758.083849] From 223.120.11.49 icmp_seq=17751 Time to live exceeded
[1766466758.287353] From 223.120.11.49 icmp_seq=17752 Time to live exceeded
[1766466758.487639] From 223.120.11.49 icmp_seq=17753 Time to live exceeded
[1766467090.887885] From 221.183.92.194 icmp_seq=19377 Time to live exceeded
[1766467312.408627] From 223.120.11.50 icmp_seq=20466 Time to live exceeded
[1766467320.981111] From 223.120.11.50 icmp_seq=20508 Time to live exceeded
[1766467321.996813] From 223.120.11.50 icmp_seq=20513 Time to live exceeded
[1766467322.400840] From 223.120.11.50 icmp_seq=20515 Time to live exceeded
[1766467324.233080] From 223.120.11.50 icmp_seq=20524 Time to live exceeded
[1766467327.492823] From 223.120.11.50 icmp_seq=20540 Time to live exceeded
[1766467330.345365] From 223.120.11.50 icmp_seq=20554 Time to live exceeded
[1766467330.952204] From 223.120.11.50 icmp_seq=20557 Time to live exceeded
[1766467334.008292] From 223.120.11.50 icmp_seq=20572 Time to live exceeded
[1766467436.415868] From 193.63.108.70 icmp_seq=21070 Time to live exceeded
[1766467523.758034] From 223.120.11.162 icmp_seq=21501 Time to live exceeded
[1766467585.048832] From 223.120.11.49 icmp_seq=21802 Time to live exceeded
[1766467585.861149] From 223.120.11.49 icmp_seq=21806 Time to live exceeded
[1766467588.917645] From 223.120.11.49 icmp_seq=21821 Time to live exceeded
[1766467591.768569] From 223.120.11.49 icmp_seq=21835 Time to live exceeded
[1766467593.579249] From 146.97.33.62 icmp_seq=21840 Time to live exceeded
[1766467704.185052] From 223.120.6.217 icmp_seq=22386 Time to live exceeded
[1766467704.385912] From 223.120.6.217 icmp_seq=22387 Time to live exceeded
[1766467706.032554] From 223.120.6.217 icmp_seq=22395 Time to live exceeded
[1766467706.237248] From 223.120.6.217 icmp_seq=22396 Time to live exceeded
[1766467706.438189] From 223.120.6.217 icmp_seq=22397 Time to live exceeded
[1766467706.638094] From 223.120.6.217 icmp_seq=22398 Time to live exceeded
[1766467707.241922] From 223.120.6.217 icmp_seq=22401 Time to live exceeded
[1766467707.444052] From 223.120.6.217 icmp_seq=22402 Time to live exceeded
[1766467707.645622] From 223.120.6.217 icmp_seq=22403 Time to live exceeded
[1766467707.845882] From 223.120.6.217 icmp_seq=22404 Time to live exceeded
[1766467708.046677] From 223.120.6.217 icmp_seq=22405 Time to live exceeded
[1766467708.246621] From 223.120.6.217 icmp_seq=22406 Time to live exceeded
[1766467708.447235] From 223.120.6.217 icmp_seq=22407 Time to live exceeded
[1766467708.648469] From 223.120.6.217 icmp_seq=22408 Time to live exceeded
[1766467708.849482] From 223.120.6.217 icmp_seq=22409 Time to live exceeded
[1766467709.049828] From 223.120.6.217 icmp_seq=22410 Time to live exceeded
[1766467709.248705] From 223.120.6.217 icmp_seq=22411 Time to live exceeded
[1766467709.448545] From 223.120.6.217 icmp_seq=22412 Time to live exceeded
[1766467709.650642] From 223.120.6.217 icmp_seq=22413 Time to live exceeded
[1766467709.850311] From 223.120.6.217 icmp_seq=22414 Time to live exceeded
[1766467710.051342] From 223.120.6.217 icmp_seq=22415 Time to live exceeded
[1766467710.250202] From 223.120.6.217 icmp_seq=22416 Time to live exceeded
[1766467710.451578] From 223.120.6.217 icmp_seq=22417 Time to live exceeded
[1766467710.652969] From 223.120.6.217 icmp_seq=22418 Time to live exceeded
[1766467710.852716] From 223.120.6.217 icmp_seq=22419 Time to live exceeded
[1766467711.053978] From 223.120.6.217 icmp_seq=22420 Time to live exceeded
[1766467711.254075] From 223.120.6.217 icmp_seq=22421 Time to live exceeded
[1766467711.454825] From 223.120.6.217 icmp_seq=22422 Time to live exceeded
[1766467711.654915] From 223.120.6.217 icmp_seq=22423 Time to live exceeded
[1766467711.855951] From 223.120.6.217 icmp_seq=22424 Time to live exceeded
[1766467712.059266] From 223.120.6.217 icmp_seq=22425 Time to live exceeded
[1766467712.458290] From 223.120.6.217 icmp_seq=22427 Time to live exceeded
[1766467712.660330] From 223.120.6.217 icmp_seq=22428 Time to live exceeded
[1766467712.862401] From 223.120.6.217 icmp_seq=22429 Time to live exceeded
[1766467713.063096] From 223.120.6.217 icmp_seq=22430 Time to live exceeded
[1766467713.265711] From 223.120.6.217 icmp_seq=22431 Time to live exceeded
[1766467713.464500] From 223.120.6.217 icmp_seq=22432 Time to live exceeded
[1766467713.665367] From 223.120.6.217 icmp_seq=22433 Time to live exceeded
[1766467713.995730] From 223.120.6.217 icmp_seq=22434 Time to live exceeded
[1766468049.380610] From 223.120.11.49 icmp_seq=24078 Time to live exceeded
[1766468245.467416] From 223.120.11.49 icmp_seq=25039 Time to live exceeded
[1766468273.645058] From 223.120.11.57 icmp_seq=25177 Time to live exceeded
[1766468273.848504] From 223.120.11.57 icmp_seq=25178 Time to live exceeded
[1766468276.901228] From 223.120.11.57 icmp_seq=25193 Time to live exceeded
[1766468279.344365] From 223.120.11.57 icmp_seq=25205 Time to live exceeded
[1766468280.976948] From 223.120.11.57 icmp_seq=25213 Time to live exceeded
[1766468283.624835] From 223.120.11.57 icmp_seq=25226 Time to live exceeded
[1766468284.232341] From 223.120.11.57 icmp_seq=25229 Time to live exceeded
[1766468284.440454] From 223.120.11.57 icmp_seq=25230 Time to live exceeded
[1766468285.045365] From 223.120.11.57 icmp_seq=25233 Time to live exceeded
[1766468396.411839] From 223.120.11.49 icmp_seq=25779 Time to live exceeded
[1766468396.616624] From 223.120.11.49 icmp_seq=25780 Time to live exceeded
[1766468461.681670] From 223.120.6.74 icmp_seq=26091 Time to live exceeded
[1766468461.693469] From 223.120.6.74 icmp_seq=26092 Time to live exceeded
[1766468461.709123] From 223.120.6.74 icmp_seq=26093 Time to live exceeded
[1766468517.167118] From 223.120.10.86 icmp_seq=26371 Time to live exceeded
[1766468517.717120] From 223.120.11.162 icmp_seq=26373 Time to live exceeded
[1766468518.120964] From 223.120.11.162 icmp_seq=26375 Time to live exceeded
[1766468518.521954] From 223.120.11.162 icmp_seq=26377 Time to live exceeded
[1766468518.725001] From 223.120.11.162 icmp_seq=26378 Time to live exceeded
[1766468518.925165] From 223.120.11.162 icmp_seq=26379 Time to live exceeded
[1766468519.125768] From 223.120.11.162 icmp_seq=26380 Time to live exceeded
[1766468519.306939] From 223.120.10.42 icmp_seq=26381 Time to live exceeded
[1766468519.385010] From 223.120.10.93 icmp_seq=26382 Time to live exceeded
[1766468527.126971] From 223.120.10.86 icmp_seq=26419 Time to live exceeded
[1766468527.330473] From 223.120.10.86 icmp_seq=26420 Time to live exceeded
[1766468527.536845] From 223.120.10.86 icmp_seq=26421 Time to live exceeded
[1766468527.745687] From 223.120.10.86 icmp_seq=26422 Time to live exceeded
[1766468527.936411] From 223.120.10.86 icmp_seq=26423 Time to live exceeded
